ObjectID,ProjectID,AssetID,AreaID,Region,DataFormat,Orgnztion,URL,Notes,Contact,Email,FundType,FunderName,FundEnd,FundSec,ProjFocus,PhysFocus,BioFocus,InstiType,AssetType,StudyType,TidalExp,EcoType,Latitude,Longitude,Depth_m_,ProfileMin,ProfileMax,MeasType,MeasFreq,Meas/Yr,MeasPeriod,ProgDur,YearSamp,StartYr,EndYr,Ongoing,DataFreq,DiscSWpCO2,ATMpCO2,DiscSWpH,DiscTA,DiscDIC,SatState,DiscDO,isSWpCO2,isSWpH,isDIC,isDO,CalcPmtrs,Methods,Instrument,Temp,Salinity,Pressure,Turbidity,DOC,OtherPhys,Nutrients,Chlrophyl,Nitrate,Ammonium,Phosphate,Silicate,Iron,BioSamples,BioAbund,BioAdapt,BioBiomass,BioCalc,BioComm,BioDistr,BioDiv,BioEvol,BioFoodweb,BioGrRate,BioPhtosyn,BioRecr,BioSurv,BioMovmnt,BioBehvor,OtherBio,OAHFocus,DisCrbPmtr,ISCrbPmtr
WA1276,Marine Water Quality Monitoring,BUD01 - Budd Inlet bottom rigid,,Washington,point,Washington State Department of Ecology,https://ecology.wa.gov/Research-Data/Monitoring-assessment/Puget-Sound-and-marine-monitoring/Long-term-changes-in-marine-water,Sensor depth based on MLLW.,Dr. Christopher Krembs; Suzan Pool,christopher.krembs@ecy.wa.gov,Dedicated Program Funds,Washington Department of Ecology,,Not pursuing continued funding,Physical/Biogeochemical,Estuarine Environmental Monitoring,Water Quality,Agency,Mooring,In situ,No,Estuarine,47.0512,-122.9055,7.7,,,Continuous,15,15,Year-round,3,2005-2008,2005,2008,No,,No,No,No,No,No,No,No,No,No,No,Yes,,See QAMP.,CTD package,Yes,Yes,Yes,No,No,None,No,No,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
WA1277,Marine Water Quality Monitoring,MCH01BR - Clam Bay bottom rigid,,Washington,point,Washington State Department of Ecology,https://ecology.wa.gov/Research-Data/Monitoring-assessment/Puget-Sound-and-marine-monitoring/Long-term-changes-in-marine-water,Sensor depth based on MLLW.,Dr. Christopher Krembs; Suzan Pool,christopher.krembs@ecy.wa.gov,Dedicated Program Funds,Washington Department of Ecology,,Not pursuing continued funding,Physical/Biogeochemical,Estuarine Environmental Monitoring,Water Quality,Agency,Mooring,In situ,No,Estuarine,47.5737,-122.5445,8.9,,,Continuous,15,15,Year-round,6,2007-2013,2007,2013,No,,No,No,No,No,No,No,No,No,No,No,Yes,,See QAMP.,CTD package,Yes,Yes,Yes,No,No,None,No,No,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
WA1279,Marine Water Quality Monitoring,MUK01BR - Possession Sound bottom rigid,,Washington,point,Washington State Department of Ecology,https://ecology.wa.gov/Research-Data/Monitoring-assessment/Puget-Sound-and-marine-monitoring/Long-term-changes-in-marine-water,Sensor depth based on MLLW.,Dr. Christopher Krembs; Suzan Pool,christopher.krembs@ecy.wa.gov,Dedicated Program Funds,Washington Department of Ecology,,Not pursuing continued funding,Physical/Biogeochemical,Estuarine Environmental Monitoring,Water Quality,Agency,Mooring,In situ,No,Estuarine,47.9543,-122.2882,13.5,,,Continuous,15,15,Year-round,6,2009-2015,2009,2015,No,,No,No,No,No,No,No,No,No,No,No,Yes,,See QAMP.,CTD package,Yes,Yes,Yes,Yes,No,None,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
WA1281,Marine Water Quality Monitoring,SPM01BR - West Guemes Channel bottom rigid,,Washington,point,Washington State Department of Ecology,https://ecology.wa.gov/Research-Data/Monitoring-assessment/Puget-Sound-and-marine-monitoring/Long-term-changes-in-marine-water,Sensor depth based on MLLW.,Dr. Christopher Krembs; Suzan Pool,christopher.krembs@ecy.wa.gov,Dedicated Program Funds,Washington Department of Ecology,,Not pursuing continued funding,Physical/Biogeochemical,Estuarine Environmental Monitoring,Water Quality,Agency,Mooring,In situ,No,Estuarine,48.509,-122.686,,,,Continuous,15,15,Year-round,3,2010-2013,2010,2013,No,,No,No,No,No,No,No,No,No,No,No,Yes,,See QAMP.,CTD package,Yes,Yes,Yes,No,No,None,No,No,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
WA1282,Marine Water Quality Monitoring,SQX01BR - Squaxin Passage bottom rigid,,Washington,point,Washington State Department of Ecology,https://ecology.wa.gov/Research-Data/Monitoring-assessment/Puget-Sound-and-marine-monitoring/Long-term-changes-in-marine-water,Sensor depth based on MLLW.,Dr. Christopher Krembs; Suzan Pool,christopher.krembs@ecy.wa.gov,Dedicated Program Funds,Washington Department of Ecology,,Not pursuing continued funding,Physical/Biogeochemical,Estuarine Environmental Monitoring,Water Quality,Agency,Mooring,In situ,No,Estuarine,47.1819,-122.9373,6.7,,,Continuous,15,15,Year-round,5,2005-2010,2005,2010,No,,No,No,No,No,No,No,No,No,No,No,Yes,,See QAMP.,CTD package,Yes,Yes,Yes,No,No,None,No,No,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
WA1283,Marine Water Quality Monitoring,SQX01CF - Squaxin Passage central float,,Washington,point,Washington State Department of Ecology,https://ecology.wa.gov/Research-Data/Monitoring-assessment/Puget-Sound-and-marine-monitoring/Long-term-changes-in-marine-water,Sensor depth based on MLLW.,Dr. Christopher Krembs; Suzan Pool,christopher.krembs@ecy.wa.gov,Dedicated Program Funds,Washington Department of Ecology,,Not pursuing continued funding,Physical/Biogeochemical,Estuarine Environmental Monitoring,Water Quality,Agency,Mooring,In situ,No,Estuarine,47.1819,-122.9373,6.7,,,Continuous,15,15,Year-round,2,2010-2012,2010,2012,No,,No,No,No,No,No,No,No,No,No,No,Yes,,See QAMP.,CTD package,Yes,Yes,Yes,No,No,None,No,No,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
WA1275,Marine Water Quality Monitoring,ADM01BR - Admiralty Inlet bottom rigid,,Washington,point,Washington State Department of Ecology,https://ecology.wa.gov/Research-Data/Monitoring-assessment/Puget-Sound-and-marine-monitoring/Long-term-changes-in-marine-water,Sensor depth based on MLLW.,Dr. Christopher Krembs; Suzan Pool,christopher.krembs@ecy.wa.gov,Dedicated Program Funds,Washington Department of Ecology,,Not pursuing continued funding,Physical/Biogeochemical,Estuarine Environmental Monitoring,Water Quality,Agency,Mooring,In situ,No,Estuarine,48.15,-122.686,65,,,Continuous,30,30,Year-round,4,2009-2013,2009,2013,No,,No,No,No,No,No,No,No,No,No,No,Yes,,See QAMP.,CTD package,Yes,Yes,Yes,No,No,None,No,No,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR637,Cape Falcon Glider Line,OOI CE05MOAS,,Oregon,polyline,Ocean Observatories Intiative,http://oceanobservatories.org/cruise-data/,,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical,Oceanographic Characterization,,Academic,Glider,in situ,No,Open Ocean,,,,0,1000,continuous,60,60,Year-Round,1,2017-Present,2017,Present,Yes,,No,No,No,No,No,No,No,No,No,No,Yes,,,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR639,Coos Bay Glider Line,OOI CE05MOAS,,Oregon,polyline,Ocean Observatories Intiative,http://oceanobservatories.org/cruise-data/,,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical,Oceanographic Characterization,,Academic,Glider,in situ,No,Open Ocean,,,,0,1000,continuous,60,60,Year-Round,3,2015-Present,2015,Present,Yes,,No,No,No,No,No,No,No,No,No,No,Yes,,,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR640,Endurance Offshore Glider Line,OOI CE05MOAS,,Oregon,polyline,Ocean Observatories Intiative,https://ooinet.oceanobservatories.org,,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical & Biological,,,Academic,Glider,in situ,No,Nearshore; Open Ocean,,,,0,1000,continuous,60,60,Year-Round,,2015-Present,2015,Present,Yes,,No,No,No,No,No,No,No,No,No,No,Yes,,,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR642,Newport Inshore Glider Line,OOI CE05MOAS,,Oregon,polyline,Ocean Observatories Intiative,http://oceanobservatories.org/cruise-data/,,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical,Oceanographic Characterization,,Academic,Glider,in situ,No,Open Ocean,,,,0,200,continuous,60,60,Year-Round,4,2014-Present,2014,Present,Yes,,No,No,No,No,No,No,No,No,No,No,Yes,,,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR638,Newport Offshore Glider Line,OOI CE05MOAS,,Oregon,polyline,Ocean Observatories Intiative,http://oceanobservatories.org/cruise-data/,,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical,Oceanographic Characterization,,Academic,Glider,in situ,No,Open Ocean,,,,0,1000,continuous,60,60,Year-Round,4,2014-Present,2014,Present,Yes,,No,No,No,No,No,No,No,No,No,No,Yes,,,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR616,OR Shelf Surface Mooring - 1m,OOI CE02SHSM,,Oregon,point,Ocean Observatories Intiative,http://oceanobservatories.org/cruise-data/,some data on NANOOS and NDBC;Phytoplankton measured using WET LABS ac-S,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical,Oceanographic Characterization,,Academic,Mooring,in situ,No,Nearshore; Open Ocean,44.64,-124.31,80,1,1,continuous,60,60,Year-Round,3,2015-Present,2015,Present,Yes,,No,Yes,No,No,No,No,No,No,No,No,Yes,,,Nortek Single Point Velocity Meter; Custom Direct Covariance Flux Instrument; Star Engineering ASIMET Bulk Meteorology Instrument Package; Axys Technologies Triaxys Surface Wave Spectra,Yes,Yes,Yes,Yes,No,surface meteorology;CDOM;waves;Velocity;spectral irradiance,No,Yes,No,No,No,No,No,Phytoplankton,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR979,CMOP SATURN,SATURN-05,,Oregon,point,Oregon Health & Science University,,DO;2009/06 Ð ongoing (year round). Sondes are at a fixed depth relative to the surface. The water above the sonde varies with tidal cycle.,Joe Needoba; Charles Seaton,needobaj@ohsu.edu; seatonc@ohsu.edu,External Funds,Bonneville Power Adminstration,2018,Current funding has option for renewal,Physical/Biogeochemical,Estuarine Environmental Monitoring,,Academic,Mooring,in situ,No,Estuarine,46.20361,-123.75857,4,,,continuous,60,60,Year-Round,9,2009-Present,2009,2016,No,near real-time;publicly accessible within 1 hour,No,No,No,No,No,No,No,No,No,No,Yes,,in situ sensor,Seabird LOBO Platform,Yes,Yes,No,Yes,Yes,xFDOM,Yes,Yes,Yes,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR980,CMOP SATURN,SATURN-08,,Oregon,point,Oregon Health & Science University,,DO;2012/09 Ð ongoing (year round). Sondes are at a fixed depth relative to the surface. The water above the sonde varies with tidal cycle.,Joe Needoba; Charles Seaton,needobaj@ohsu.edu; seatonc@ohsu.edu,External Funds,Bonneville Power Adminstration,2018,Current funding has option for renewal,Physical/Biogeochemical,Estuarine Environmental Monitoring,,Academic,Mooring,in situ,No,Estuarine,45.577,-122.379,4,,,continuous,60,60,Year-Round,6,2012-Present,2012,Present,Yes,near real-time;publicly accessible within 1 hour,No,No,No,No,No,No,No,No,No,No,Yes,,in situ sensor,Seabird LOBO Platform,Yes,Yes,No,Yes,Yes,xFDOM,Yes,Yes,Yes,No,Yes,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR941,ODFW Telemetry,Seal Rock 2015,,Oregon,point,Oregon Department of Fish and Wildlife - At Sea Research,,,Polly Rankin,polly.s.rankin@state.or.us,,,2015,Not pursuing continued funding,Physical/Biogeochemical & Biological,Oceanographic Characterization,Fish Behavior and Distribution,Agency,Mooring,in situ,No,Nearshore,44.5269,-124.112,10,,,continuous,60,60,April-December,1,2015,2015,2015,No,Every 2 Months,No,No,No,No,No,No,Yes,No,No,No,Yes,,,Seabird Electronics16+ CTD w/Seabird Electronics 43 DO,Yes,Yes,Yes,No,No,,No,No,No,No,No,No,No,Fish,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Scattering; light,H,0,0
OR942,ODFW Telemetry,Seal Rock 2016,,Oregon,point,Oregon Department of Fish and Wildlife - At Sea Research,,,Polly Rankin,polly.s.rankin@state.or.us,,,2016,Not pursuing continued funding,Physical/Biogeochemical & Biological,Oceanographic Characterization,Fish Behavior and Distribution,Agency,Mooring,in situ,No,Nearshore,44.5276264,-124.1092491,10,,,continuous,60,60,May-September,1,2016,2016,2016,No,Every 2 Months,No,No,No,No,No,No,Yes,No,No,No,Yes,,,Seabird Electronics16+ CTD w/Seabird Electronics 43 DO,Yes,Yes,Yes,No,No,,No,No,No,No,No,No,No,Fish,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Scattering; light,H,0,0
OR641,Grays Harbor Inshore Glider Line,OOI CE05MOAS,,Washington,polyline,Ocean Observatories Intiative,https://ooinet.oceanobservatories.org,,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical & Biological,,,Academic,Glider,in situ,No,Nearshore; Open Ocean,,,,0,200,continuous,60,60,Year-round,,2014-Present,2014,Present,Yes,,No,No,No,No,No,No,No,No,No,No,Yes,,,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR636,Grays Harbor Offshore Glider Line,OOI CE05MOAS,,Washington,polyline,Ocean Observatories Intiative,https://ooinet.oceanobservatories.org,,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical & Biological,,,Academic,Glider,in situ,No,Nearshore; Opean Ocean,,,,0,1000,continuous,60,60,Year-round,,2015-Present,2015,Present,Yes,,No,No,No,No,No,No,No,No,No,No,Yes,,,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
OR635,La Push Glider Line,OOI CE05MOAS,,Washington,polyline,Ocean Observatories Intiative,https://ooinet.oceanobservatories.org,,Edward Dever,edever@ceoas.oregonstate.edu,External Funds,National Science Foundation,2018,Continued funding is likely from the same source,Physical/Biogeochemical & Biological,,,Academic,Glider,in situ,No,Nearshore; Opean Ocean,,,,0,1000,continuous,60,60,Year-round,,2015-Present,2015,Present,Yes,,No,No,No,No,No,No,No,No,No,No,Yes,,,Nortek Single Point Velocity Meter; Aanderaa Oxygen Optode 4831; Seabird 16+V2 CTD; Wet Labs 3-Wavelength Fluorometer; WET Labs Absorption Spectrophotometer AC-S w/pump; Spectral Irradiance Satlantic OCR507 ICSW w/mid-range bioshutter,Yes,Yes,Yes,Yes,No,CDOM; PAR; Velocity,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
WA658,Oceanic Remote Chemical Analyzer Project,NANOOS ORCA Hoodsport,,Washington,point,University of Washington; National Oceanic and Atmospheric Administration - Pacific Marine Environmental Laboratory,http://orca.ocean.washington.edu/about_proj_ORCA.shtml,Back online Dec. 28 2013. Patchy online/offline before then. Measurement frequency is anywhere from every two hours to once per day and is dicted by the availability of solar energy.,Allan Devol; Adrienne Sutton; Wendi Ruef,devol@u.washington.edu; adrienne.sutton@noaa.gov; wruef@ocean.washington.edu,External Funds,NANOOS WOAC,43252,Current funding has option for renewal,Physical/Biogeochemical,Estuarine Environmental Monitoring,Water Quality,Academic,Mooring,In situ,No,Estuarine,47.4218,-123.1126,,0,118,Continuous,120,120,Year-round,7,2011-Present,2011,Present,Yes,2 - 6 hrs,No,No,No,No,No,No,No,No,No,No,Yes,,http://orca.ocean.washington.edu/sensors.html,http://orca.ocean.washington.edu/sensors.html,No,Yes,No,No,No,Water density,No,Yes,No,No,No,No,No,None,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,H,0,0
